"","x"
"ENSG00000000003.13",11.0823
"ENSG00000000971.14",6.77714
"ENSG00000001084.9",5.09772
"ENSG00000001617.10",5.30397
"ENSG00000002330.12",40.1588
"ENSG00000002549.11",52.3178
"ENSG00000002586.16",44.5992
"ENSG00000002726.18",251.255
"ENSG00000002746.13",11.1717
"ENSG00000002834.16",17.6576
"ENSG00000002933.6",490.649
"ENSG00000003056.6",55.2802
"ENSG00000003402.18",14.7245
"ENSG00000003436.13",8.429
"ENSG00000003756.15",37.2578
"ENSG00000004059.9",74.2436
"ENSG00000004142.10",62.6501
"ENSG00000004399.11",22.9663
"ENSG00000004455.15",71.7051
"ENSG00000004468.11",0.26548
"ENSG00000004534.13",65.298
"ENSG00000004777.17",10.3161
"ENSG00000004779.8",100.181
"ENSG00000004799.7",6.72672
"ENSG00000004939.12",34.2865
"ENSG00000005001.8",2.59668
"ENSG00000005020.11",3.26439
"ENSG00000005022.5",440.219
"ENSG00000005075.14",34.8678
"ENSG00000005187.10",174.696
"ENSG00000005206.15",18.7133
"ENSG00000005243.8",21.7443
"ENSG00000005302.16",4.37438
"ENSG00000005379.14",11.207
"ENSG00000005486.15",59.4549
"ENSG00000005810.16",5.67724
"ENSG00000005844.16",1.28708
"ENSG00000005882.10",92.7592
"ENSG00000005884.16",21.1868
"ENSG00000005893.14",42.2733
"ENSG00000006015.16",37.4924
"ENSG00000006042.10",15.138
"ENSG00000006125.15",11.1922
"ENSG00000006210.6",7.508
"ENSG00000006282.18",28.2925
"ENSG00000006327.12",7.87078
"ENSG00000006611.14",173.003
"ENSG00000006712.13",28.8382
"ENSG00000006715.14",5.99991
"ENSG00000006744.17",19.9987
"ENSG00000006747.13",8.55109
"ENSG00000006756.14",12.3114
"ENSG00000006757.10",33.5036
"ENSG00000007001.11",22.7939
"ENSG00000007062.10",2.52161
"ENSG00000007080.9",30.8668
"ENSG00000007168.11",8.05304
"ENSG00000007202.13",50.5309
"ENSG00000007216.13",65.2074
"ENSG00000007255.9",58.5312
"ENSG00000007392.15",58.078
"ENSG00000007520.3",38.8164
"ENSG00000007541.13",42.4889
"ENSG00000007923.14",16.3386
"ENSG00000008018.8",123.282
"ENSG00000008128.21",19.5498
"ENSG00000008130.14",19.7418
"ENSG00000008226.18",24.6559
"ENSG00000008282.6",23.7486
"ENSG00000008294.19",5.71347
"ENSG00000008382.14",48.3841
"ENSG00000008394.11",253.904
"ENSG00000008513.13",13.6458
"ENSG00000008517.15",242.842
"ENSG00000008710.16",8.08165
"ENSG00000008838.16",37.3046
"ENSG00000008952.15",20.8908
"ENSG00000008988.8",722.96
"ENSG00000009307.14",40.7905
"ENSG00000009765.13",8.60432
"ENSG00000009790.13",6.64267
"ENSG00000009950.14",27.557
"ENSG00000010244.15",10.1057
"ENSG00000010256.9",367.23
"ENSG00000010278.10",63.815
"ENSG00000010319.5",3.39797
"ENSG00000010322.14",12.6127
"ENSG00000010327.9",33.4649
"ENSG00000010361.12",22.5001
"ENSG00000010379.14",215.213
"ENSG00000010438.15",3.68931
"ENSG00000010610.8",3.27857
"ENSG00000010810.16",27.5076
"ENSG00000010932.14",111.27
"ENSG00000011009.9",34.7578
"ENSG00000011028.12",6.66771
"ENSG00000011052.20",11.6398
"ENSG00000011105.10",18.3511
"ENSG00000011243.16",27.5404
"ENSG00000011304.15",33.2657
"ENSG00000011465.15",131.188
"ENSG00000011485.13",19.891
"ENSG00000011566.13",3.11479
"ENSG00000011600.10",25.7219
"ENSG00000012061.14",48.7572
"ENSG00000012171.16",40.7181
"ENSG00000012223.11",3.3269
"ENSG00000012504.12",20.821
"ENSG00000012779.9",0.815061
"ENSG00000012817.14",0.188574
"ENSG00000012822.14",20.9514
"ENSG00000013275.6",47.4173
"ENSG00000013306.14",137.672
"ENSG00000013364.17",99.3089
"ENSG00000013374.14",7.85775
"ENSG00000013441.14",74.0578
"ENSG00000013583.7",23.714
"ENSG00000013725.13",0.748351
"ENSG00000013810.17",4.15003
"ENSG00000014216.14",21.4744
"ENSG00000014257.14",3.66769
"ENSG00000014641.16",235.601
"ENSG00000014824.12",10.2758
"ENSG00000015171.17",5.10325
"ENSG00000015285.9",2.33392
"ENSG00000015413.8",843.803
"ENSG00000015475.17",3.90904
"ENSG00000015479.16",21.3614
"ENSG00000016391.9",13.3579
"ENSG00000017260.18",14.4996
"ENSG00000018189.11",23.0877
"ENSG00000018408.13",5.58551
"ENSG00000019144.15",17.3163
"ENSG00000019186.8",1.77387
"ENSG00000019582.13",544.144
"ENSG00000021355.11",13.2421
"ENSG00000021488.11",77.224
"ENSG00000022267.15",6.46829
"ENSG00000022277.11",35.2153
"ENSG00000022840.14",142.038
"ENSG00000023041.10",31.9506
"ENSG00000023191.15",90.1545
"ENSG00000023228.12",23.9429
"ENSG00000023445.12",0.568904
"ENSG00000023697.11",27.8963
"ENSG00000023734.9",47.4151
"ENSG00000023892.10",1.48365
"ENSG00000023902.12",9.00763
"ENSG00000025434.17",41.8723
"ENSG00000025708.11",4.06818
"ENSG00000025796.12",7.36039
"ENSG00000026025.12",101.166
"ENSG00000026297.14",24.1684
"ENSG00000026508.15",4.75409
"ENSG00000026751.15",0.379404
"ENSG00000026950.15",2.92373
"ENSG00000027001.8",31.5622
"ENSG00000027075.12",1.22728
"ENSG00000027697.11",7.28528
"ENSG00000028137.15",1.85266
"ENSG00000028528.13",28.6703
"ENSG00000029363.14",2.95652
"ENSG00000030582.15",123.863
"ENSG00000031698.11",35.9984
"ENSG00000031823.13",29.7697
"ENSG00000032444.14",42.7402
"ENSG00000033627.13",40.1023
"ENSG00000034510.5",507.301
"ENSG00000034677.10",4.89506
"ENSG00000034713.6",49.7291
"ENSG00000035115.20",49.035
"ENSG00000035403.15",4.66834
"ENSG00000035862.11",15.424
"ENSG00000035928.13",5.93447
"ENSG00000036448.8",31.7667
"ENSG00000036672.14",18.4426
"ENSG00000036828.12",1.3505
"ENSG00000037897.15",35.5555
"ENSG00000038274.15",19.7291
"ENSG00000038358.13",38.0076
"ENSG00000038382.16",3.08832
"ENSG00000038427.14",0.723159
"ENSG00000038945.13",0.997633
"ENSG00000039068.17",6.26259
"ENSG00000039319.15",2.08353
"ENSG00000039523.16",51.1987
"ENSG00000039560.12",4.26739
"ENSG00000039650.8",19.1029
"ENSG00000041357.14",58.31
"ENSG00000041802.9",4.76627
"ENSG00000041982.13",5.35996
"ENSG00000041988.14",23.4224
"ENSG00000042062.10",8.33244
"ENSG00000042445.12",27.7954
"ENSG00000042493.14",130.974
"ENSG00000042753.10",92.3894
"ENSG00000043462.10",0.879397
"ENSG00000044115.19",67.7123
"ENSG00000044574.7",32.4714
"ENSG00000047249.15",71.0008
"ENSG00000047315.13",9.38843
"ENSG00000047410.12",15.9379
