"","x"
"ENSG00000000003.13",10.441
"ENSG00000000971.14",28.7957
"ENSG00000001084.9",22.5667
"ENSG00000001617.10",21.7048
"ENSG00000002330.12",25.3648
"ENSG00000002549.11",254.227
"ENSG00000002586.16",117.539
"ENSG00000002726.18",37.4819
"ENSG00000002746.13",2.98639
"ENSG00000002834.16",53.6714
"ENSG00000002933.6",230.348
"ENSG00000003056.6",152.967
"ENSG00000003402.18",43.36
"ENSG00000003436.13",18.5681
"ENSG00000003756.15",68.8432
"ENSG00000004059.9",83.0715
"ENSG00000004142.10",29.3872
"ENSG00000004399.11",61.0179
"ENSG00000004455.15",78.0172
"ENSG00000004468.11",25.6943
"ENSG00000004534.13",56.438
"ENSG00000004777.17",18.6097
"ENSG00000004779.8",39.0176
"ENSG00000004799.7",28.1725
"ENSG00000004939.12",11.1102
"ENSG00000005001.8",4.59186
"ENSG00000005020.11",12.4928
"ENSG00000005022.5",190.851
"ENSG00000005075.14",20.5985
"ENSG00000005187.10",22.1067
"ENSG00000005206.15",27.6991
"ENSG00000005243.8",14.4311
"ENSG00000005302.16",21.3982
"ENSG00000005379.14",12.2892
"ENSG00000005486.15",33.6398
"ENSG00000005810.16",20.5354
"ENSG00000005844.16",96.1427
"ENSG00000005882.10",34.6219
"ENSG00000005884.16",65.6691
"ENSG00000005893.14",69.2439
"ENSG00000006015.16",29.5775
"ENSG00000006042.10",17.963
"ENSG00000006125.15",29.6288
"ENSG00000006210.6",28.4569
"ENSG00000006282.18",20.954
"ENSG00000006327.12",55.711
"ENSG00000006611.14",67.0431
"ENSG00000006712.13",24.436
"ENSG00000006715.14",24.1324
"ENSG00000006744.17",29.5534
"ENSG00000006747.13",10.0656
"ENSG00000006756.14",9.99665
"ENSG00000006757.10",13.0069
"ENSG00000007001.11",1.26853
"ENSG00000007062.10",9.62307
"ENSG00000007080.9",26.824
"ENSG00000007168.11",29.2836
"ENSG00000007202.13",59.1872
"ENSG00000007216.13",4.34798
"ENSG00000007255.9",18.0788
"ENSG00000007392.15",39.9888
"ENSG00000007520.3",23.0563
"ENSG00000007541.13",23.4754
"ENSG00000007923.14",15.5654
"ENSG00000008018.8",79.4935
"ENSG00000008128.21",25.1973
"ENSG00000008130.14",56.3115
"ENSG00000008226.18",4.28846
"ENSG00000008282.6",27.4269
"ENSG00000008294.19",20.4801
"ENSG00000008382.14",13.3571
"ENSG00000008394.11",107.94
"ENSG00000008513.13",10.0911
"ENSG00000008517.15",678.594
"ENSG00000008710.16",21.7263
"ENSG00000008838.16",34.2798
"ENSG00000008952.15",50.5889
"ENSG00000008988.8",575.517
"ENSG00000009307.14",110.906
"ENSG00000009765.13",2.26292
"ENSG00000009790.13",35.9253
"ENSG00000009950.14",8.14158
