"","x"
"ENSG00000000003.13",17.6523
"ENSG00000000971.14",20.8665
"ENSG00000001617.10",8.90448
"ENSG00000002330.12",22.745
"ENSG00000002549.11",85.2682
"ENSG00000002586.16",50.5149
"ENSG00000002726.18",115.003
"ENSG00000002746.13",5.06896
"ENSG00000002834.16",34.6944
"ENSG00000002933.6",255.079
"ENSG00000003056.6",95.4708
"ENSG00000003402.18",34.1027
"ENSG00000003436.13",26.542
"ENSG00000003756.15",63.3956
"ENSG00000004059.9",68.8677
"ENSG00000004142.10",31.7144
"ENSG00000004399.11",54.1199
"ENSG00000004455.15",78.1358
"ENSG00000004468.11",6.06442
"ENSG00000004534.13",53.573
"ENSG00000004777.17",6.54969
"ENSG00000004779.8",37.0055
"ENSG00000004799.7",4.31021
"ENSG00000004939.12",0.0250549
"ENSG00000005001.8",4.45211
"ENSG00000005020.11",13.6214
"ENSG00000005022.5",225.548
"ENSG00000005075.14",15.6345
"ENSG00000005187.10",119.496
"ENSG00000005206.15",28.6709
"ENSG00000005243.8",10.6118
"ENSG00000005302.16",13.7181
"ENSG00000005379.14",14.7581
"ENSG00000005486.15",36.3192
"ENSG00000005810.16",15.2917
"ENSG00000005844.16",35.1831
"ENSG00000005882.10",69.9151
"ENSG00000005884.16",48.2397
"ENSG00000005893.14",64.1829
"ENSG00000006015.16",26.1246
"ENSG00000006042.10",25.6718
"ENSG00000006125.15",25.9231
"ENSG00000006210.6",15.311
"ENSG00000006282.18",25.4948
"ENSG00000006327.12",45.9415
"ENSG00000006611.14",96.2796
"ENSG00000006712.13",17.3949
"ENSG00000006715.14",23.223
"ENSG00000006744.17",33.3442
"ENSG00000006747.13",12.3565
"ENSG00000006756.14",20.6477
"ENSG00000006757.10",16.5371
"ENSG00000007001.11",16.7976
"ENSG00000007062.10",37.2698
"ENSG00000007080.9",21.9844
"ENSG00000007168.11",21.8619
"ENSG00000007202.13",47.8541
"ENSG00000007216.13",71.2435
"ENSG00000007255.9",20.6343
"ENSG00000007392.15",39.9038
"ENSG00000007520.3",18.5139
"ENSG00000007541.13",21.54
"ENSG00000007923.14",24.809
"ENSG00000008018.8",67.479
"ENSG00000008128.21",8.51443
"ENSG00000008130.14",32.292
"ENSG00000008226.18",8.44028
"ENSG00000008282.6",34.5743
"ENSG00000008294.19",15.7626
"ENSG00000008382.14",20.8924
"ENSG00000008394.11",248.378
"ENSG00000008513.13",15.9775
"ENSG00000008517.15",414.941
"ENSG00000008710.16",18.9261
"ENSG00000008838.16",23.2717
"ENSG00000008952.15",62.5109
"ENSG00000008988.8",477.192
"ENSG00000009307.14",101.457
"ENSG00000009765.13",7.36246
"ENSG00000009790.13",21.183
"ENSG00000009950.14",22.6744
"ENSG00000010244.15",27.0009
"ENSG00000010256.9",168.769
"ENSG00000010278.10",67.2881
"ENSG00000010319.5",3.70906
"ENSG00000010322.14",26.7449
"ENSG00000010327.9",59.7101
"ENSG00000010361.12",12.5655
"ENSG00000010379.14",122.044
"ENSG00000010438.15",1.72587
"ENSG00000010610.8",24.566
"ENSG00000010810.16",29.3666
"ENSG00000010932.14",80.5084
"ENSG00000011009.9",28.8805
"ENSG00000011028.12",9.83121
"ENSG00000011052.20",14.2504
"ENSG00000011105.10",23.65
"ENSG00000011243.16",44.1252
"ENSG00000011304.15",80.8419
"ENSG00000011465.15",482.2
"ENSG00000011485.13",27.872
"ENSG00000011566.13",6.65044
"ENSG00000011600.10",104.751
"ENSG00000012061.14",33.6824
"ENSG00000012171.16",32.5195
"ENSG00000012223.11",180.115
"ENSG00000012504.12",10.6545
"ENSG00000012779.9",16.4064
"ENSG00000012817.14",7.80109
"ENSG00000012822.14",31.8552
"ENSG00000013275.6",36.8556
"ENSG00000013306.14",57.8577
"ENSG00000013364.17",129.344
"ENSG00000013374.14",31.0229
"ENSG00000013441.14",56.3721
"ENSG00000013583.7",15.5502
"ENSG00000013725.13",8.62026
"ENSG00000013810.17",7.49962
"ENSG00000014216.14",37.249
"ENSG00000014257.14",5.61914
"ENSG00000014641.16",150.194
"ENSG00000014824.12",24.082
"ENSG00000015171.17",15.9258
"ENSG00000015285.9",11.8791
"ENSG00000015413.8",152.733
"ENSG00000015475.17",6.4359
"ENSG00000015479.16",69.9534
"ENSG00000016391.9",14.4808
"ENSG00000017260.18",33.7287
"ENSG00000018189.11",32.2376
"ENSG00000018408.13",18.092
"ENSG00000019144.15",36.8491
"ENSG00000019186.8",7.83786
"ENSG00000019582.13",2115.95
"ENSG00000021355.11",28.9729
"ENSG00000021488.11",21.0755
"ENSG00000022267.15",12.1778
"ENSG00000022277.11",47.2698
"ENSG00000022840.14",164.117
"ENSG00000023041.10",20.3526
"ENSG00000023191.15",56.2183
"ENSG00000023228.12",29.2583
"ENSG00000023445.12",9.47182
"ENSG00000023697.11",29.4002
"ENSG00000023734.9",30.8124
"ENSG00000023892.10",11.9747
"ENSG00000023902.12",28.8685
"ENSG00000025434.17",21.912
"ENSG00000025708.11",39.5028
"ENSG00000025796.12",23.2896
"ENSG00000026025.12",216.262
"ENSG00000026297.14",57.1062
"ENSG00000026508.15",39.3175
"ENSG00000026751.15",10.2223
"ENSG00000026950.15",24.2233
"ENSG00000027001.8",12.9889
"ENSG00000027075.12",10.3726
"ENSG00000027697.11",29.6987
"ENSG00000028137.15",12.1913
"ENSG00000028528.13",34.5057
"ENSG00000029363.14",17.3
"ENSG00000030582.15",130.577
